date,entry_time,dollar_pnl,win,rolling_wr_k,rolling_wr,cls_h50_l35,exit_reason
2025-10-29,15:15,-177.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-10-30,11:10,163.8,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2025-10-30,15:05,1054.2,1,15,0.2667,LOW,TP1_THEN_RUNNER_RIBBON
2025-10-31,14:35,-120.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-11-04,11:05,77.38,1,15,0.2667,LOW,TP1_THEN_RUNNER_BE_STOP
2025-11-05,11:05,-160.2,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-11-06,14:05,138.0,1,15,0.3333,LOW,TP1_THEN_RUNNER_RIBBON
2025-11-12,14:25,-36.0,0,15,0.4,MID,EXIT_ALL_RIBBON_FLIP_BACK
2025-11-13,11:00,-177.73,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-11-18,14:00,-28.16,0,15,0.3333,LOW,EXIT_ALL_RIBBON_FLIP_BACK
2025-11-19,13:05,996.0,1,15,0.3333,LOW,TP1_THEN_RUNNER_RIBBON
2025-11-21,11:05,-1434.8,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-11-28,10:35,-265.6,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-11-28,11:35,-197.6,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-01,13:50,-145.6,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-01,14:45,-156.0,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-02,11:50,-219.2,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-02,15:00,-123.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-03,12:35,-216.8,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-03,14:30,-169.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-05,10:35,-232.8,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-09,10:30,-139.2,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-09,11:30,-204.0,0,15,0.0667,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-10,10:30,-220.2,0,15,0.0667,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-10,15:30,774.0,1,15,0.0667,LOW,TP1_THEN_RUNNER_TIME
2025-12-12,10:40,-195.2,0,15,0.1333,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-17,11:00,-257.6,0,15,0.0667,LOW,EXIT_ALL_PREMIUM_STOP
