date,symbol,underlier,is_spx_family,bias,right,strike,expiry,is_0dte,qty,entry_time,exit_time,hold_min,entry_px,exit_px,pnl,result,status,n_entry_fills
2021-06-29,FCEL210716C00010000,FCEL,False,bull,C,10.0,2021-07-16,False,5,2021-06-29 09:59:29,2021-06-29 09:59:29,0.0,0.68,0.68,0.0,LOSS,unclosed,1
2021-06-29,MARA210702P00032000,MARA,False,bear,P,32.0,2021-07-02,False,1,2021-06-29 10:10:17,2021-06-29 11:48:05,97.8,0.93,1.33,40.0,WIN,closed,1
2021-06-29,FCEL210716C00010000,FCEL,False,bull,C,10.0,2021-07-16,False,3,2021-06-29 10:13:17,2021-06-29 10:13:17,0.0,0.58,0.58,0.0,LOSS,unclosed,1
2021-07-01,CCIV210820C00060000,CCIV,False,bull,C,60.0,2021-08-20,False,5,2021-07-01 12:44:56,2021-07-21 09:34:21,28609.4,0.81,0.26,-275.0,LOSS,closed,1
2021-07-07,AAPL210716C00145000,AAPL,False,bull,C,145.0,2021-07-16,False,1,2021-07-07 10:18:23,2021-07-07 10:25:19,6.9,1.85,1.64,-21.0,LOSS,closed,1
2021-07-07,SPY210707P00432000,SPY,True,bear,P,432.0,2021-07-07,True,2,2021-07-07 10:22:19,2021-07-07 10:28:21,6.0,0.21,0.31,20.0,WIN,closed,1
2021-07-12,NIO210716C00046000,NIO,False,bull,C,46.0,2021-07-16,False,4,2021-07-12 11:02:33,2021-07-12 11:40:42,38.1,1.06,1.19,52.0,WIN,closed,2
2021-07-12,SPY210712P00436000,SPY,True,bear,P,436.0,2021-07-12,True,10,2021-07-12 11:28:35,2021-07-12 11:33:32,5.0,0.33,0.392,62.0,WIN,closed,1
2021-07-20,SPY210721C00431000,SPY,True,bull,C,431.0,2021-07-21,False,1,2021-07-20 10:23:10,2021-07-20 10:31:26,8.3,1.01,0.87,-14.0,LOSS,closed,1
2021-07-20,SQ210820C00280000,SQ,False,bull,C,280.0,2021-08-20,False,1,2021-07-20 12:57:39,2021-07-21 09:34:26,1236.8,2.65,3.45,80.0,WIN,closed,1
2021-07-21,DKNG210723C00047500,DKNG,False,bull,C,47.5,2021-07-23,False,1,2021-07-21 09:37:52,2021-07-21 09:44:02,6.2,0.84,0.8,-4.0,LOSS,closed,1
2021-07-21,DKNG210723P00046000,DKNG,False,bear,P,46.0,2021-07-23,False,1,2021-07-21 09:47:33,2021-07-21 10:04:24,16.9,0.46,0.29,-17.0,LOSS,closed,1
2021-07-21,SPY210721C00434000,SPY,True,bull,C,434.0,2021-07-21,True,2,2021-07-21 09:51:33,2021-07-21 09:56:04,4.5,0.56,0.7,28.0,WIN,closed,1
2021-07-21,SPY210721C00434000,SPY,True,bull,C,434.0,2021-07-21,True,4,2021-07-21 10:17:46,2021-07-21 12:56:26,158.7,0.508,0.29,-87.0,LOSS,closed,3
2021-07-21,DKNG210730C00049000,DKNG,False,bull,C,49.0,2021-07-30,False,1,2021-07-21 10:27:41,2021-07-23 09:51:56,2844.2,1.28,1.52,24.0,WIN,closed,1
2021-07-21,GE210917C00014000,GE,False,bull,C,14.0,2021-09-17,False,10,2021-07-21 13:41:35,2021-07-27 09:32:36,8391.0,0.33,0.43,100.0,WIN,closed,2
2021-07-21,QS210723C00025000,QS,False,bull,C,25.0,2021-07-23,True,1,2021-07-21 13:53:17,2021-07-23 10:17:58,2664.7,0.26,0.01,-25.0,LOSS,closed,1
2021-07-23,SPY210723P00436000,SPY,True,bear,P,436.0,2021-07-23,True,10,2021-07-23 09:34:06,2021-07-23 09:57:23,23.3,0.32,0.41,90.0,WIN,closed,1
2021-07-23,QQQ210723C00365000,QQQ,False,bull,C,365.0,2021-07-23,True,1,2021-07-23 09:56:27,2021-07-23 10:17:29,21.0,0.77,1.05,28.0,WIN,closed,1
2021-07-23,PFE210820C00041000,PFE,False,bull,C,41.0,2021-08-20,False,2,2021-07-23 10:04:36,2021-07-27 14:29:04,6024.5,1.27,1.37,20.0,WIN,closed,1
2021-07-23,CVS210820C00084000,CVS,False,bull,C,84.0,2021-08-20,False,1,2021-07-23 10:16:59,2021-08-09 10:10:56,24474.0,1.91,0.31,-160.0,LOSS,closed,1
2021-07-27,TAL210820C00005000,TAL,False,bull,C,5.0,2021-08-20,False,2,2021-07-27 09:40:00,2021-07-27 09:45:49,5.8,1.3,1.15,-30.0,LOSS,closed,1
2021-07-27,AAPL210730C00155000,AAPL,False,bull,C,155.0,2021-07-30,False,6,2021-07-27 09:47:09,2021-07-28 13:59:04,1691.9,0.742,0.02,-433.0,LOSS,closed,3
2021-07-27,WKHS210806C00013500,WKHS,False,bull,C,13.5,2021-08-06,False,5,2021-07-27 11:12:54,2021-07-29 10:48:06,2855.2,0.27,0.34,35.0,WIN,closed,1
2021-07-27,QQQ210728C00364000,QQQ,False,bull,C,364.0,2021-07-28,False,1,2021-07-27 15:18:20,2021-07-27 15:40:53,22.6,1.67,1.49,-18.0,LOSS,closed,1
2021-07-29,FB210820C00400000,FB,False,bull,C,400.0,2021-08-20,False,1,2021-07-29 09:35:23,2021-07-29 09:35:23,0.0,1.15,1.15,0.0,LOSS,unclosed,1
2021-07-29,QQQ210730C00370000,QQQ,False,bull,C,370.0,2021-07-30,False,1,2021-07-29 09:41:20,2021-07-29 15:31:24,350.1,0.54,0.2,-34.0,LOSS,closed,1
2021-07-29,NIO210730C00044000,NIO,False,bull,C,44.0,2021-07-30,False,5,2021-07-29 09:44:00,2021-07-29 10:18:29,34.5,0.36,0.25,-55.0,LOSS,closed,1
2021-07-29,PYPL210730C00295000,PYPL,False,bull,C,295.0,2021-07-30,False,1,2021-07-29 09:45:24,2021-07-29 10:13:29,28.1,0.88,0.56,-32.0,LOSS,closed,1
2021-07-29,UBER210730C00044500,UBER,False,bull,C,44.5,2021-07-30,False,1,2021-07-29 10:14:30,2021-07-29 10:53:39,39.1,0.56,0.66,10.0,WIN,closed,1
2021-08-04,NIO210806C00047000,NIO,False,bull,C,47.0,2021-08-06,False,1,2021-08-04 09:48:29,2021-08-04 10:12:58,24.5,0.4,0.44,4.0,WIN,closed,1
2021-08-04,NIO210806C00047000,NIO,False,bull,C,47.0,2021-08-06,False,1,2021-08-04 09:48:29,2021-08-04 09:48:29,0.0,0.4,0.4,0.0,LOSS,unclosed,1
2021-08-04,SPY210804C00441000,SPY,True,bull,C,441.0,2021-08-04,True,1,2021-08-04 09:52:12,2021-08-04 10:02:25,10.2,0.31,0.32,1.0,WIN,closed,1
2021-08-04,SPY210804C00441000,SPY,True,bull,C,441.0,2021-08-04,True,1,2021-08-04 09:52:12,2021-08-04 16:00:00,367.8,0.31,0.0,-31.0,LOSS,expired_worthless,1
2021-08-04,SPY210804C00441000,SPY,True,bull,C,441.0,2021-08-04,True,1,2021-08-04 09:53:51,2021-08-04 16:00:00,366.1,0.25,0.0,-25.0,LOSS,expired_worthless,1
2021-08-04,SOFI211015C00020000,SOFI,False,bull,C,20.0,2021-10-15,False,1,2021-08-04 13:50:51,2021-10-12 09:30:13,99099.4,1.23,0.11,-112.0,LOSS,closed,1
2021-08-09,GLD210813C00165500,GLD,False,bull,C,165.5,2021-08-13,False,2,2021-08-09 09:38:45,2021-08-09 10:08:14,29.5,0.48,0.36,-24.0,LOSS,closed,1
2021-08-09,MSFT210813C00297500,MSFT,False,bull,C,297.5,2021-08-13,False,1,2021-08-09 09:47:43,2021-08-09 10:04:48,17.1,0.25,0.23,-2.0,LOSS,closed,1
2021-08-09,MVIS210820C00018000,MVIS,False,bull,C,18.0,2021-08-20,False,3,2021-08-09 09:57:52,2021-08-09 09:57:52,0.0,0.68,0.68,0.0,LOSS,unclosed,1
2021-11-08,LCID211112C00045000,LCID,False,bull,C,45.0,2021-11-12,False,1,2021-11-08 10:31:04,2021-11-08 10:38:59,7.9,3.3,2.75,-55.0,LOSS,closed,1
2021-11-08,LCID211112P00042000,LCID,False,bear,P,42.0,2021-11-12,False,1,2021-11-08 10:41:58,2021-11-08 10:47:03,5.1,2.25,2.1,-15.0,LOSS,closed,1
