nearest_level,wick_favor,level_sweep_favor,hold_bars,structure_align,event_recency,body_favor,vwap_streak,touch_count,ribbon_slope_favor,abs_level_dist,episode_id,entry_ts,bias,pnl,qty,spy_entry,spy_exit,dir_ok,year,is_test
PDL,0.4390243902438923,0.0,0.0,1.0,0.5,0.5609756097561077,-12.0,6.0,0.06280616353226964,0.012962770921909339,849,2022-07-11 14:10:08,bear,-109.99999999999996,2,385.77,385.23,1,2022,False
PDC,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.0912550571249171,0.10932090892528112,851,2022-07-12 09:51:14,bear,190.00000000000003,1,384.61,383.77,1,2022,False
PDC,0.06249999999993339,0.0,0.0,-1.0,-0.2,0.3125000000000222,-7.0,10.0,0.0005520028810490629,0.028631666623291085,852,2022-07-12 13:42:23,bull,-89.99999999999999,1,384.08,384.21,1,2022,False
PDC,0.48387096774204197,1.0,0.0,-1.0,-0.14285714285714285,0.1935483870967801,-9.0,10.0,0.011032145761435963,0.0078086363518026225,853,2022-07-12 13:54:21,bull,-35.00000000000001,1,384.16,384.37,1,2022,False
PDL,0.13750000000001836,0.0,6.0,1.0,0.058823529411764705,-0.7624999999999769,12.0,10.0,-0.0722984062914267,0.6857619649818125,854,2022-07-12 15:58:53,bear,51.0,1,380.885,380.9,0,2022,False
PDL,0.5199999999999818,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-0.015657281414660495,0.9248143115344498,857,2022-07-13 10:27:08,bull,150.0,1,375.49,376.52,1,2022,False
PDL,0.26851851851847464,1.0,2.0,1.0,0.058823529411764705,0.6203703703704142,12.0,9.0,0.021202058441205374,0.20976530033378626,858,2022-07-13 12:32:33,bull,170.00000000000003,1,379.79,380.82,1,2022,False
PDC,0.2020547945205617,1.0,1.0,1.0,0.3333333333333333,0.46917808219178897,12.0,2.0,0.06387480918033095,0.13651877133107337,859,2022-07-13 13:08:06,bull,-95.0,1,381.42,381.63,1,2022,False
PDL,0.16176470588237138,0.0,0.0,-1.0,-0.25,-0.5588235294117524,-10.0,0.0,0.029420108099653675,0.9074894571077907,862,2022-07-14 10:23:25,bull,300.0,2,371.26,373.59,1,2022,False
PDL,0.08196721311468536,0.0,6.0,-1.0,-0.1111111111111111,0.8278688524590676,-7.0,0.0,-0.10150004176555649,0.23354508087332082,863,2022-07-14 11:36:51,bear,-125.0,2,373.785,374.14,0,2022,False
PDL,0.4387096774193766,0.0,0.0,1.0,0.1,0.4387096774193033,8.0,0.0,0.07951952613640678,0.1387925052047323,864,2022-07-14 11:43:58,bull,-44.99999999999999,1,374.14,375.53,1,2022,False
PDH,0.0,0.0,0.0,0.0,0.0,0.6250000000000205,4.0,0.0,-0.150712559280608,0.7898768954403668,866,2022-07-15 09:50:56,bear,-260.0,1,381.53,382.8,0,2022,False
PDH,0.0,0.0,6.0,0.0,0.0,0.5325203252032574,1.0,0.0,0.0061029943142942855,1.1253764463464933,867,2022-07-15 10:05:58,bull,-269.99999999999994,3,382.8,383.31,1,2022,False
PDH,0.0,0.0,6.0,0.0,0.0,0.3731343283582001,-4.0,0.0,-0.09820883297104732,0.6194098899969025,872,2022-07-19 10:14:46,bear,-120.0,1,386.67,387.4,0,2022,False
PDH,0.08387096774192886,0.0,0.0,0.0,0.0,0.6451612903225522,7.0,0.0,0.025673956934912923,0.4317878071347758,873,2022-07-19 10:27:46,bull,230.00000000000003,1,387.4,388.665,1,2022,False
PDH,0.04605263157890604,1.0,1.0,0.0,0.0,0.9210526315790182,1.0,3.0,0.032044448523405045,0.0012727828123448859,875,2022-07-20 10:29:47,bull,260.0,1,392.845,394.315,1,2022,False
PDH,0.020618556701012803,0.0,6.0,-1.0,-0.3333333333333333,0.8041237113402026,1.0,5.0,-0.13940059319036413,0.39710823745036095,876,2022-07-20 12:57:01,bull,-105.0,1,394.4,393.665,0,2022,False
PDH,0.2750000000000302,1.0,1.0,-1.0,-0.3333333333333333,0.6999999999999929,-4.0,7.0,-0.08301252046083452,0.12982384685877868,877,2022-07-20 13:24:52,bull,9.999999999999998,1,393.35,394.2,1,2022,False
PDC,0.0,0.0,0.0,-1.0,-0.3333333333333333,0.9861111111111235,-8.0,3.0,-0.04556437979245098,0.44192878488578113,879,2022-07-21 10:42:38,bull,84.99999999999999,1,393.115,394.41,1,2022,False
PDH,0.6351351351351642,1.0,4.0,1.0,0.2,0.3648648648648358,12.0,4.0,0.018486904776238156,0.1589905362775923,881,2022-07-21 12:27:13,bull,100.0,1,396.88,397.35,1,2022,False
PDH,0.028169014084482233,1.0,1.0,-1.0,-0.1,0.9154929577464732,12.0,8.0,-0.032876212538901495,0.0529968454258567,882,2022-07-21 14:02:31,bull,6.0,1,396.46,397.19,1,2022,False
PDH,0.0,1.0,0.0,0.0,0.0,-1.0,-2.0,4.0,-0.049505560287843586,0.22690803329655784,884,2022-07-22 10:03:48,bull,-310.00000000000006,3,397.935,398.64,1,2022,False
PDH,0.0,0.0,5.0,1.0,0.25,0.4711538461538199,5.0,10.0,0.027383112982204416,0.2294153043826963,885,2022-07-22 11:23:16,bear,620.0000000000001,2,397.925,395.89,1,2022,False
PDH,0.26086956521735694,0.0,6.0,1.0,0.1,0.5217391304348127,12.0,10.0,-0.012685140240731307,0.9026175910139322,886,2022-07-22 13:01:34,bear,70.00000000000001,2,395.24,394.77,1,2022,False
PDL,0.0,0.0,0.0,1.0,0.3333333333333333,0.8461538461538558,12.0,0.0,0.01746459118305843,0.7914826256797625,887,2022-07-22 13:18:51,bear,400.0,1,394.77,393.625,1,2022,False
PDL,0.31683168316836924,0.0,0.0,-1.0,-1.0,-0.2574257425742507,12.0,0.0,-0.05831143763251889,0.5540378379758293,888,2022-07-22 15:07:12,bear,-30.000000000000004,1,393.84,393.53,1,2022,False
PDC,0.12727272727273553,1.0,0.0,0.0,0.0,-0.8145454545454579,-1.0,1.0,-0.029980588339295622,0.11388656897730609,889,2022-07-25 09:47:45,bear,-85.00000000000001,1,395.58,395.455,1,2022,False
PDC,0.15625000000003886,0.0,5.0,0.0,0.0,-0.1249999999999778,5.0,9.0,0.05343848188472666,0.17209525978791884,890,2022-07-25 10:41:59,bear,-240.0,2,394.45,395.21,0,2022,False
PDC,0.46874999999993894,0.0,6.0,1.0,0.16666666666666666,-0.5312500000000611,7.0,10.0,0.016989551677748516,0.17715688507580207,891,2022-07-25 11:55:03,bull,-284.99999999999994,3,395.83,395.68,0,2022,False
PDC,0.7435897435896763,0.0,6.0,1.0,0.1,0.051282051282152186,7.0,10.0,0.037243961894806166,0.1999341988712655,892,2022-07-25 14:13:04,bear,-60.00000000000001,4,394.34,394.295,1,2022,False
PDC,0.0,0.0,6.0,1.0,0.07142857142857142,0.2749999999999716,11.0,10.0,0.006044657063131176,0.21132285576898058,893,2022-07-25 14:30:52,bear,-125.0,1,394.295,394.275,1,2022,False
PDC,0.551724137930994,0.0,6.0,1.0,0.058823529411764705,-0.2931034482760243,12.0,10.0,-0.0213984977779913,0.1467871333485138,894,2022-07-25 14:48:24,bear,-244.99999999999997,3,394.55,393.7,1,2022,False
PDL,0.036144578313289315,1.0,1.0,0.0,0.0,0.8072289156626168,1.0,8.0,0.0018256360960089424,0.0940925158304351,897,2022-07-26 10:18:34,bear,-89.99999999999999,2,392.86,392.54,1,2022,False
PDL,0.3066666666666909,0.0,4.0,0.0,0.0,-0.3466666666666545,4.0,10.0,0.03480576455234807,0.17292678585052457,898,2022-07-26 10:34:35,bear,-100.0,1,392.55,392.54,1,2022,False
PDL,0.36842105263164193,0.0,6.0,0.0,0.0,0.6052631578945519,9.0,10.0,-0.016465937435194977,0.22378760521831742,899,2022-07-26 10:55:08,bear,289.99999999999994,2,392.35,391.405,1,2022,False
PDL,0.0,0.0,6.0,1.0,0.16666666666666666,1.0,12.0,10.0,0.01985487835950428,0.5518398901406374,900,2022-07-26 11:52:28,bear,-120.0,2,391.06,390.645,1,2022,False
PDH,0.01960784313723742,0.0,6.0,1.0,0.16666666666666666,0.7254901960784532,2.0,2.0,-0.013014897105634304,0.6420667952492076,903,2022-07-27 14:21:54,bull,785.0000000000001,4,396.57,395.77,0,2022,False
PDH,0.0,0.0,6.0,1.0,1.0,0.9734513274336272,1.0,2.0,0.061804097610318465,1.1064866511014015,904,2022-07-27 14:44:36,bull,-270.0,2,398.4,400.79,1,2022,False
PDH,0.08125000000006706,0.0,0.0,-1.0,-0.07692307692307693,0.81249999999996,-12.0,2.0,-0.036120626326408,2.0213683889960254,905,2022-07-27 15:43:15,bear,-265.00000000000006,3,402.005,399.75,1,2022,False
PDC,0.05806451612901783,1.0,3.0,0.0,0.0,0.7032258064516174,5.0,1.0,0.23197901167746338,0.5735374794274439,906,2022-07-28 09:56:34,bear,-669.9999999999999,4,398.72,399.75,0,2022,False
PDC,0.340909090909041,0.0,0.0,1.0,0.5,0.13636363636364224,2.0,2.0,0.12739696749496376,0.01745548850431433,907,2022-07-28 10:59:22,bull,359.99999999999994,3,400.95,402.43,1,2022,False
PDH,0.20967741935484907,1.0,2.0,1.0,0.1111111111111111,0.693548387096752,9.0,3.0,0.10064252966084375,0.23085515700631554,908,2022-07-28 11:32:44,bull,260.00000000000006,2,403.78,404.18,1,2022,False
PDH,0.0,0.0,0.0,-1.0,-0.06666666666666667,1.0,-12.0,3.0,0.02393553639459256,0.20106739481196012,909,2022-07-28 12:02:51,bear,-165.00000000000003,2,403.66,404.18,0,2022,False
PDH,0.25,0.0,6.0,0.0,0.0,0.7177419354839005,6.0,1.0,0.09651273818127581,0.7841884018781276,910,2022-07-29 10:06:15,bull,-374.9999999999999,3,409.98,409.27,0,2022,False
PDH,0.25,0.0,6.0,0.0,0.0,0.7177419354839005,6.0,1.0,0.09651273818127581,0.7841884018781276,911,2022-07-29 10:07:08,bull,-140.0,2,409.98,409.41,0,2022,False
PDH,0.4705882352941472,0.0,0.0,1.0,0.3333333333333333,-0.5147058823527593,2.0,1.0,0.13037983457520053,0.6096511713660435,913,2022-07-29 11:12:20,bear,-990.0,6,409.27,409.94,0,2022,False
PDH,0.13157894736845255,0.0,6.0,1.0,0.25,-0.5789473684211314,12.0,1.0,0.017501210869586004,1.005432778583537,914,2022-07-29 14:00:31,bull,360.0,2,410.88,412.83,1,2022,False
PDC,0.5423728813559436,0.0,0.0,0.0,0.0,-0.016949152542358185,3.0,0.0,-0.0902525270967347,0.4246232984737808,916,2022-08-01 09:50:48,bull,339.99999999999994,1,410.38,411.53,1,2022,False
PDH,0.1617647058823849,1.0,2.0,1.0,0.5,-0.7794117647058996,12.0,7.0,0.02212998274413458,0.008474576271200185,917,2022-08-01 11:57:13,bull,-75.0,1,413.035,412.82,0,2022,False
PDC,0.4242424242425025,0.0,0.0,1.0,0.2,0.33333333333316106,-12.0,10.0,0.05133961197194559,0.39065343459587787,918,2022-08-01 14:37:36,bull,599.9999999999999,3,410.52,410.67,1,2022,False
PDL,0.04347826086952761,1.0,0.0,0.0,0.0,-0.8043478260870022,-1.0,8.0,-0.0714507554510857,0.15670910871694588,920,2022-08-02 10:34:27,bear,-289.99999999999994,2,409.04,409.355,0,2022,False
PDL,0.16447368421052827,0.0,0.0,1.0,0.16666666666666666,0.7171052631579242,4.0,9.0,0.12522629199530622,0.18364348677766262,921,2022-08-02 13:50:02,bear,-400.0,2,409.15,410.35,0,2022,False
PDC,0.981481481481499,0.0,0.0,1.0,0.25,-0.018518518518500976,6.0,10.0,0.020746038829733138,0.1338948803466522,922,2022-08-02 14:54:50,bull,-420.0,2,410.22,409.47,0,2022,False
PDH,0.21495327102806716,0.0,5.0,0.0,0.0,-0.18691588785041466,-2.0,0.0,-0.09881364096577805,0.393500581170092,924,2022-08-03 09:58:06,bear,-100.0,1,411.335,411.95,0,2022,False
PDH,0.0,0.0,6.0,0.0,0.0,0.973244147157177,1.0,0.0,0.003625718421584878,0.5085238279736504,925,2022-08-03 10:23:01,bear,-155.0,1,410.86,412.05,0,2022,False
PDC,0.6721311475410096,0.0,4.0,0.0,0.0,0.32786885245899045,4.0,10.0,0.048866049302265235,0.22925263640531934,926,2022-08-04 10:30:46,bear,-309.99999999999994,2,413.44,413.86,0,2022,False
PDL,0.6283185840708312,0.0,0.0,0.0,0.0,0.19469026548664997,6.0,0.0,-0.0033261103563164696,0.11515011939249309,928,2022-08-05 10:04:17,bull,60.00000000000001,1,412.03,413.69,1,2022,False
PDH,0.0,0.0,6.0,0.0,0.0,0.34999999999993603,7.0,0.0,0.037243721032176325,0.9092207359451487,931,2022-08-11 10:11:57,bull,69.99999999999997,1,423.96,424.27,1,2022,False
PDH,0.05813953488366713,0.0,6.0,1.0,0.5,0.8488372093023333,-12.0,0.0,0.047733010768824524,0.535535773789686,933,2022-08-11 12:38:14,bull,-524.9999999999999,4,422.39,422.385,0,2022,False
PDH,0.0,0.0,3.0,1.0,0.5,0.9914529914529998,12.0,8.0,0.02487769823931174,0.19885160257919754,937,2022-08-12 14:38:24,bull,100.0,1,425.785,426.06,1,2022,False
PDC,0.5322580645160995,0.0,0.0,0.0,0.0,-0.46774193548390053,7.0,1.0,0.055593681786736404,0.08898672224433302,938,2022-08-15 10:05:08,bull,-110.0,1,426.65,426.575,0,2022,False
PDC,0.37931034482763126,1.0,6.0,0.0,0.0,0.14942528735631583,-8.0,2.0,-0.02925807865825636,0.106549891108354,939,2022-08-15 10:14:12,bear,-100.0,1,426.575,426.09,1,2022,False
PDH,0.0,0.0,0.0,1.0,0.1,0.7368421052633941,-12.0,5.0,-0.0068897407820234235,0.23291563795593273,940,2022-08-16 13:30:28,bear,-169.99999999999997,2,430.34,430.41,0,2022,False
PDH,0.1176470588234114,0.0,6.0,-1.0,-0.09090909090909091,0.8823529411765886,12.0,5.0,0.005436734652342068,0.2492197326128487,941,2022-08-16 13:38:38,bull,140.00000000000003,1,430.41,430.975,1,2022,False
PDL,0.06250000000007994,0.0,6.0,1.0,0.2,-0.9374999999999201,12.0,9.0,-0.015485711739227082,0.3677719345506536,943,2022-08-17 12:09:58,bear,-70.0,1,425.325,425.585,0,2022,False
PDL,0.2916666666666272,0.0,6.0,-1.0,-0.09090909090909091,-0.5833333333332544,-10.0,10.0,0.0053721559619690495,0.06676114735473249,944,2022-08-17 13:15:42,bear,-12.000000000000002,1,426.61,428.62,0,2022,False
PDC,0.6511627906976867,0.0,0.0,0.0,0.0,-0.23255813953496365,-6.0,4.0,-3.0844630238835435e-05,0.15703002320294202,946,2022-08-18 10:17:56,bull,125.0,1,426.0,426.78,1,2022,False
PDC,0.3644859813084877,0.0,5.0,1.0,0.3333333333333333,0.2336448598130732,12.0,10.0,0.052055976993004016,0.23202943727003156,948,2022-08-18 11:37:33,bull,-110.0,1,427.66,427.55,0,2022,False
PDL,0.12765957446797702,0.0,6.0,1.0,1.0,0.8085106382980345,12.0,0.0,0.010732282692549333,0.8659890723224262,952,2022-08-19 14:59:48,bear,160.99999999999994,3,421.84,421.4,1,2022,False
PDL,0.19166666666667456,0.0,5.0,0.0,0.0,-0.4,2.0,0.0,0.16759065158027386,1.2166316514142572,953,2022-08-22 09:57:23,bear,95.0,3,416.12,416.255,0,2022,False
PDL,0.3504273504273986,0.0,0.0,0.0,0.0,-0.5897435897435025,-5.0,0.0,-0.010627725424716683,1.296157817896948,954,2022-08-22 10:10:22,bull,-64.99999999999999,1,415.785,415.61,0,2022,False
PDL,0.0,0.0,6.0,1.0,1.0,0.7916666666666272,6.0,0.0,-0.001817662190306546,1.3377013377013358,955,2022-08-22 10:18:53,bear,75.0,2,415.61,414.38,1,2022,False
PDC,0.08620689655173766,0.0,5.0,1.0,0.2,-0.7931034482758689,8.0,8.0,0.06458869437082626,0.10159405916644326,956,2022-08-23 11:19:03,bear,119.99999999999991,2,412.99,412.53,1,2022,False
PDC,0.09803921568641001,1.0,1.0,1.0,0.5,0.8235294117646403,-12.0,10.0,0.03165885894914622,0.03870249873005882,957,2022-08-23 13:35:05,bull,-390.0,3,413.57,412.89,0,2022,False
PDC,0.4883720930232005,0.0,6.0,1.0,0.14285714285714285,-0.4883720930233327,8.0,9.0,-0.005234505938012113,0.0848896434634927,958,2022-08-24 10:48:32,bull,49.99999999999996,1,412.65,413.22,1,2022,False
PDH,0.5399999999999636,0.0,6.0,-1.0,-0.25,-0.2400000000000091,-12.0,0.0,-0.05497129606870654,0.23832163791961403,959,2022-08-24 11:34:10,bear,-50.0,1,414.415,414.57,0,2022,False
PDH,0.0,0.0,0.0,1.0,1.0,0.4736842105261898,12.0,0.0,0.01149286091433055,0.16971389367003153,960,2022-08-24 11:53:57,bull,-129.99999999999997,1,414.7,414.71,1,2022,False
PDH,0.3225806451613613,0.0,5.0,-1.0,-0.16666666666666666,0.6774193548386387,-12.0,10.0,0.020098570489435197,0.1168379084809823,961,2022-08-25 13:18:52,bull,170.00000000000003,2,415.59,415.81,1,2022,False
PDH,0.15555555555554432,0.0,6.0,1.0,0.08333333333333333,0.7111111111111139,10.0,10.0,-0.01700525124790353,0.39869430625985025,962,2022-08-25 14:15:41,bull,-120.0,3,416.76,416.74,0,2022,False
PDL,0.0,1.0,1.0,1.0,0.5,0.662420382165621,3.0,0.0,0.26844066278735035,0.12314378848242713,963,2022-08-26 10:38:58,bear,150.00000000000009,2,413.64,411.35,1,2022,False
PDL,0.025773195876266003,0.0,6.0,1.0,0.25,0.8865979381443709,12.0,1.0,0.04013293760308789,0.8197512978389443,964,2022-08-26 11:21:34,bear,-299.99999999999994,1,410.755,411.42,0,2022,False
PDL,0.026315789473660593,0.0,6.0,1.0,0.0625,-0.6315789473684525,-2.0,0.0,-0.05127286649081464,0.5304843445434249,965,2022-08-29 11:56:25,bear,-160.0,1,403.14,403.335,0,2022,False
PDL,0.0,0.0,0.0,-1.0,-0.058823529411764705,0.6056338028167999,3.0,0.0,0.08096566042938846,0.48237064817785447,966,2022-08-29 12:03:58,bull,-14.999999999999991,2,403.335,403.15,0,2022,False
PDC,0.0,0.0,0.0,0.0,0.0,0.8287037037036991,3.0,0.0,0.0273069084707922,0.008692844547097955,967,2022-08-30 09:47:05,bear,340.00000000000006,1,402.665,401.65,1,2022,False
PDL,0.30275229357793765,0.0,0.0,-1.0,-0.2,0.18348623853216559,-12.0,1.0,0.0014568986721363864,0.9870388833499444,968,2022-08-30 13:39:50,bull,-30.0,1,397.24,398.17,1,2022,False
PDC,0.5000000000000263,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.1458900397914853,0.6278725167641941,969,2022-08-31 09:51:51,bull,-300.0,2,400.67,399.7,0,2022,False
PDC,0.09734513274337529,0.0,0.0,0.0,0.0,0.8230088495575315,1.0,1.0,-0.061769883476903154,0.3842579802596724,970,2022-08-31 10:02:40,bear,100.00000000000004,1,399.7,399.06,1,2022,False
PDL,0.0,0.0,6.0,1.0,0.2,0.6644295302013443,11.0,0.0,-0.10955722099349474,0.9783571699784832,972,2022-09-01 11:29:37,bear,-140.0,1,391.185,391.87,0,2022,False
PDL,0.19444444444447076,0.0,6.0,1.0,0.09090909090909091,0.3518518518518343,3.0,0.0,-0.006882130477858794,1.0062017466143547,973,2022-09-01 11:58:54,bear,-9.999999999999998,1,391.075,391.65,0,2022,False
PDH,0.0,0.0,0.0,0.0,0.0,0.7500000000000137,1.0,0.0,-0.2028882465822779,0.2973940218760962,974,2022-09-02 09:45:59,bear,84.99999999999997,1,397.96,397.24,1,2022,False
PDC,0.10179640718566788,0.0,0.0,1.0,0.3333333333333333,0.6766467065867942,-12.0,4.0,0.12496834338892038,0.6383569247848997,977,2022-09-02 14:43:58,bull,-40.0,1,393.8,392.19,0,2022,False
PDC,0.2707423580785955,1.0,1.0,0.0,0.0,0.6375545851528328,4.0,1.0,-0.020506947994514135,0.1580866416787785,979,2022-09-06 09:50:43,bear,50.0,1,391.57,390.695,1,2022,False
PDC,0.0,0.0,0.0,0.0,0.0,0.7315789473684227,1.0,1.0,-0.062238430141570156,0.24691042141085084,980,2022-09-07 09:59:40,bear,-80.00000000000007,2,391.795,392.81,0,2022,False
PDH,0.31746031746030173,1.0,4.0,-1.0,-0.1111111111111111,0.47619047619049765,-12.0,6.0,0.040767978952738204,0.13701410737846365,981,2022-09-07 11:46:09,bear,-175.0,1,393.58,394.12,0,2022,False
PDC,0.8691588785046918,0.0,0.0,-1.0,-0.1,-0.11214953271027939,6.0,10.0,0.03834996187884743,0.05278769292644814,983,2022-09-08 13:11:34,bull,30.000000000000004,1,397.61,399.43,1,2022,False
PDH,0.12138728323701398,0.0,6.0,0.0,0.0,0.7514450867051681,3.0,0.0,0.08960799718640278,1.022826493700868,984,2022-09-09 10:08:40,bull,144.99999999999994,3,404.95,405.9,1,2022,False
PDH,0.0,0.0,6.0,1.0,1.0,0.6721311475409164,11.0,0.0,-0.01400869684091699,1.2598228763876618,987,2022-09-09 10:49:35,bull,-75.0,1,405.9,405.94,1,2022,False
