timestamp_et,spy_close,vix,ribbon_stack,ribbon_spread_cents,htf_15m_stack,bear_score,blockers,triggers_fired,rejection_level,passed
2026-05-26T09:45:00-04:00,750.98,15.96,BULL,87.57966836485593,BULL,5,1|5|8|9,level_rejection,751.0,False
2026-05-26T09:50:00-04:00,750.14,15.98,BULL,106.00960269620145,BULL,6,1|5|8,level_rejection,751.0,False
2026-05-26T09:55:00-04:00,750.78,15.96,BULL,127.07439067303312,BULL,4,1|5|8|9|10,,,False
2026-05-26T10:00:00-04:00,751.1101,15.92,BULL,147.0203715130424,BULL,5,5|8|9|10,,,False
2026-05-26T10:05:00-04:00,751.315,15.92,BULL,164.65266263214744,BULL,5,5|8|9|10,,,False
2026-05-26T10:10:00-04:00,751.44,15.99,BULL,179.4646182307588,BULL,5,5|8|9|10,,,False
2026-05-26T10:15:00-04:00,751.595,15.99,BULL,192.17756937463264,BULL,5,5|8|9|10,,,False
2026-05-26T10:20:00-04:00,751.5299,16.01,BULL,200.84476203884378,BULL,6,5|8|9,level_rejection,751.69,False
2026-05-26T10:25:00-04:00,751.54,16.05,BULL,206.90251366341954,BULL,5,5|7|8|9,level_rejection,751.69,False
2026-05-26T10:30:00-04:00,751.39,16.04,BULL,209.145898301324,BULL,5,5|7|8|9,level_rejection,751.69,False
2026-05-26T10:35:00-04:00,751.715,16.01,BULL,213.08713057912883,BULL,5,5|7|8|9,level_rejection,751.69,False
2026-05-26T10:40:00-04:00,752.0399,16.01,BULL,218.40025956217914,BULL,4,5|7|8|9|10,,,False
2026-05-26T10:45:00-04:00,751.729,15.96,BULL,218.32256817469897,BULL,6,5|8|9,level_rejection,751.69,False
2026-05-26T10:50:00-04:00,751.53,15.91,BULL,214.9550634877528,BULL,6,5|8|9,level_rejection,751.69,False
2026-05-26T10:55:00-04:00,751.4,15.93,BULL,209.60653156737408,BULL,5,5|8|9|10,,,False
2026-05-26T11:00:00-04:00,750.7601,15.88,BULL,197.45740892981303,BULL,7,5|8,level_rejection,751.0,False
2026-05-26T11:05:00-04:00,750.8902,15.89,BULL,187.6451132981856,BULL,5,5|7|8|9,level_rejection,750.9,False
2026-05-26T11:10:00-04:00,750.59,15.91,BULL,175.4204555876413,BULL,7,5|8,level_rejection,750.9,False
2026-05-26T11:15:00-04:00,750.3999,15.93,BULL,162.4072066501867,BULL,7,5|8,level_rejection,750.44,False
2026-05-26T11:20:00-04:00,750.15,15.94,BULL,148.2112864937335,BULL,7,5|8,level_rejection,750.44,False
2026-05-26T11:25:00-04:00,749.85,15.96,BULL,132.61457495698323,BULL,7,5|8,level_rejection,750.0,False
2026-05-26T11:30:00-04:00,749.84,15.97,BULL,118.91631897075285,BULL,7,5|8,level_rejection,749.9,False
2026-05-26T11:35:00-04:00,749.83,15.96,BULL,106.85876554200604,BULL,6,5|8|9,level_rejection,749.9,False
2026-05-26T11:40:00-04:00,749.375,16.02,BULL,91.67961802600075,BULL,6,5|8|10,,,False
2026-05-26T11:45:00-04:00,749.0999,16.02,MIXED,78.81081638283831,BULL,7,5|8,level_rejection|confluence,749.131,False
